click_date,mda_idx,total_conv,extreme_cnt,fraud_loss
2025-07-26,12,3,3,450
2025-07-26,18,1,0,0
2025-07-26,22,7,4,600
2025-07-26,54,4,3,420
2025-07-26,246,2,0,0
2025-07-26,290,1,0,0
2025-07-26,291,2,0,0
2025-07-26,294,1,1,170
2025-07-26,324,2,0,0
2025-07-26,337,5,0,0
2025-07-26,340,3,0,0
2025-07-26,341,6,0,0
2025-07-26,371,9,9,106
2025-07-26,384,20,20,3400
2025-07-26,385,1,0,0
2025-07-26,398,4,4,600
2025-07-26,458,11,11,1860
2025-07-26,492,9,9,91
2025-07-26,496,5,3,360
2025-07-26,539,10,9,1440
2025-07-26,578,1,0,0
2025-07-26,579,2,0,0
2025-07-26,583,1,0,0
2025-07-26,634,2,2,24
2025-07-26,637,2,0,0
2025-07-26,639,1,0,0
2025-07-26,643,1,1,120
2025-07-26,645,5,0,0
2025-07-26,667,4,4,480
2025-07-26,674,1,0,0
2025-07-26,675,2,0,0
2025-07-26,682,3,0,0
2025-07-26,702,2,0,0
2025-07-26,714,1,0,0
2025-07-26,761,1,1,120
2025-07-26,794,1,0,0
2025-07-26,798,1,0,0
2025-07-26,845,4,0,0
2025-07-26,850,2,0,0
2025-07-26,851,1,0,0
2025-07-26,980,8,8,3700
2025-07-26,994,1,0,0
2025-07-26,1014,13,0,0
2025-07-26,1015,10,0,0
2025-07-26,1016,7,0,0
2025-07-26,1019,1,0,0
2025-07-26,1020,2,0,0
2025-07-26,1021,3,0,0
2025-07-26,1022,4,0,0
2025-07-26,1027,2,0,0
2025-07-26,1031,6,0,0
2025-07-26,1036,2,0,0
2025-07-26,1037,1,0,0
2025-07-26,1046,1,0,0
2025-07-26,1047,1,0,0
2025-07-26,1048,1,0,0
2025-07-27,12,10,10,1200
2025-07-27,18,4,0,0
2025-07-27,22,15,3,450
2025-07-27,54,11,4,600
2025-07-27,58,2,2,340
2025-07-27,270,18,18,137
2025-07-27,291,31,2,24
2025-07-27,294,27,27,11570
2025-07-27,303,3,0,0
2025-07-27,337,2,0,0
2025-07-27,340,2,0,0
2025-07-27,341,2,0,0
2025-07-27,371,1,1,12
2025-07-27,375,1,0,0
