ad_id,ads_name,domain,ads_type,ads_type_name,date,weekday,price_segment,total_cost,click_cnt,conv_cnt,non_conv_cnt,kpi_click_cnt,kpi_conv_cnt,kpi_non_conv_cnt
6508,스마트피싱보호,라이프,3,참여형,2025-07-29,화,프리미엄(501+),0.0,2,0,2,10502541,934288,9568253
6985,DB손해보험 다이렉트,금융,3,참여형,2025-07-26,토,프리미엄(501+),0.0,46,0,46,10502541,934288,9568253
9264,하나 가득담은 운전자보험가입,금융,3,참여형,2025-08-14,목,프리미엄(501+),0.0,1,0,1,10502541,934288,9568253
9716,베이비러브 참여 신청,라이프,3,참여형,2025-07-28,월,프리미엄(501+),600.0,1,1,0,10502541,934288,9568253
9935,숨어있는 휴면포인트 조회,금융,3,참여형,2025-07-26,토,프리미엄(501+),36000.0,824,24,800,10502541,934288,9568253
9982,강원일보 네이버 뉴스,엔터,11,네이버,2025-07-26,토,고단가(201~500),2989310.0,23178,12997,10181,10502541,934288,9568253
10004,원키퍼 ,엔터,3,참여형,2025-07-30,수,프리미엄(501+),1500.0,5,1,4,10502541,934288,9568253
10500,판타지타운,엔터,3,참여형,2025-07-29,화,프리미엄(501+),0.0,2,0,2,10502541,934288,9568253
10719,리터네코 동백이 물든 시카 진정토너 300ml,커머스,12,CPS(구매),2025-08-08,금,프리미엄(501+),0.0,3,0,3,10502541,934288,9568253
10734,아이쁨 무궁화 물든 동백 톤업크림 50ml,커머스,12,CPS(구매),2025-08-14,목,프리미엄(501+),0.0,2,0,2,10502541,934288,9568253
10737,립빠미 립앤칙스 멀티밤 15g,커머스,12,CPS(구매),2025-07-29,화,프리미엄(501+),0.0,2,0,2,10502541,934288,9568253
10738,립빠미 올케어세트 [립+멀티밤SET],커머스,12,CPS(구매),2025-08-12,화,프리미엄(501+),0.0,1,0,1,10502541,934288,9568253
10740,스치듯 젠틀리스트 고체향수 5g,커머스,12,CPS(구매),2025-07-26,토,프리미엄(501+),0.0,1,0,1,10502541,934288,9568253
10742,스치듯 로얄리스트 고체향수 5g,커머스,12,CPS(구매),2025-07-30,수,프리미엄(501+),0.0,3,0,3,10502541,934288,9568253
10743,스치듯 로얄리스트 고체향수 15g,커머스,12,CPS(구매),2025-08-19,화,프리미엄(501+),0.0,1,0,1,10502541,934288,9568253
10745,스치듯 포레스트 고체향수 15g,커머스,12,CPS(구매),2025-07-28,월,프리미엄(501+),0.0,29,0,29,10502541,934288,9568253
10748,플라리떼 달라이룸 오드퍼퓸 30ml,커머스,12,CPS(구매),2025-08-17,일,프리미엄(501+),0.0,1,0,1,10502541,934288,9568253
10750,매드라운드 나르시즘 오드퍼퓸 30ml,커머스,12,CPS(구매),2025-07-27,일,프리미엄(501+),0.0,3,0,3,10502541,934288,9568253
10752,매드라운드 카타르시즘 오드퍼퓸 30ml,커머스,12,CPS(구매),2025-08-01,금,프리미엄(501+),0.0,3,0,3,10502541,934288,9568253
10753,매드라운드 에고이즘 오드퍼퓸 30ml,커머스,12,CPS(구매),2025-07-26,토,프리미엄(501+),0.0,8,0,8,10502541,934288,9568253
10754,오직청춘 퓨어 알로에겔 300ml,커머스,12,CPS(구매),2025-07-27,일,프리미엄(501+),0.0,5,0,5,10502541,934288,9568253
10755,오직청춘 퓨어 알로에 폼클렌징 500ml,커머스,12,CPS(구매),2025-07-30,수,프리미엄(501+),0.0,6,0,6,10502541,934288,9568253
10758,날엔퍼퓸 날엔세트 (코튼+우드 SET),커머스,12,CPS(구매),2025-08-01,금,프리미엄(501+),0.0,7,0,7,10502541,934288,9568253
11059,파이널삼국지2,엔터,3,참여형,2025-07-26,토,고단가(201~500),900.0,198,3,195,10502541,934288,9568253
11124,[친한친구] 베지밀 공식 인스타그램,엔터,3,참여형,2025-08-05,화,고단가(201~500),214480.0,2812,766,2046,10502541,934288,9568253
11442,[친한친구] 베지밀 공식 인스타그램,엔터,3,참여형,2025-08-12,화,고단가(201~500),117880.0,1998,421,1577,10502541,934288,9568253
12923,짤 – 시즌2,엔터,3,참여형,2025-07-26,토,프리미엄(501+),17400.0,141,29,112,10502541,934288,9568253
13209,아이부자,금융,3,참여형,2025-07-26,토,프리미엄(501+),321100.0,1526,169,1357,10502541,934288,9568253
13927,다톡_실시간 동네친구 채팅,라이프,1,설치형,2025-07-31,목,중단가(51~200),157930.0,2772,929,1843,10502541,934288,9568253
13928,다톡_실시간 동네친구 채팅,라이프,1,설치형,2025-07-26,토,중단가(51~200),481780.0,3124,2834,290,10502541,934288,9568253
13988,주식투자 정보서비스,금융,3,참여형,2025-07-26,토,프리미엄(501+),6000.0,46,1,45,10502541,934288,9568253
14012,ZETABIT 부스터 마사지건 SLG-1000,커머스,12,CPS(구매),2025-08-03,일,프리미엄(501+),0.0,10,0,10,10502541,934288,9568253
14074,오토링 광고 1회 참여,기타,3,참여형,2025-07-26,토,고단가(201~500),10500.0,322,21,301,10502541,934288,9568253
14134,캐롯 자동차보험가입,금융,3,참여형,2025-07-30,수,프리미엄(501+),0.0,4,0,4,10502541,934288,9568253
14196,코리아나 제니스웰 골프 퍼팩트맨 3종세트,커머스,12,CPS(구매),2025-07-27,일,프리미엄(501+),0.0,6,0,6,10502541,934288,9568253
14405,미노벨 노벨패스 7일 무료체험 이벤트,엔터,3,참여형,2025-07-26,토,프리미엄(501+),88400.0,421,34,387,10502541,934288,9568253
14497,808 넥도리 휴대용 온열 목난로(화이트),커머스,12,CPS(구매),2025-08-01,금,프리미엄(501+),0.0,8,0,8,10502541,934288,9568253
15010,범죄알리미 (무료체험),라이프,3,참여형,2025-07-28,월,프리미엄(501+),0.0,10,0,10,10502541,934288,9568253
16169,아이나비 힙합독 방향제 ICD-H3+아로마오일,커머스,12,CPS(구매),2025-07-26,토,프리미엄(501+),0.0,5,0,5,10502541,934288,9568253
16522,탑툰 (최초 결제),엔터,3,참여형,2025-08-04,월,프리미엄(501+),0.0,8,0,8,10502541,934288,9568253
16523,탑툰,엔터,3,참여형,2025-07-26,토,프리미엄(501+),78000.0,1294,52,1242,10502541,934288,9568253
16527,로그인보호서비스,라이프,3,참여형,2025-07-31,목,프리미엄(501+),1000.0,7,1,6,10502541,934288,9568253
16528,안심보호,라이프,3,참여형,2025-07-26,토,프리미엄(501+),58000.0,538,29,509,10502541,934288,9568253
16529,MyOTP,라이프,3,참여형,2025-07-26,토,프리미엄(501+),9180.0,25,6,19,10502541,934288,9568253
16540,주식정보,금융,3,참여형,2025-07-26,토,프리미엄(501+),0.0,7,0,7,10502541,934288,9568253
16730,KB차차차,금융,3,참여형,2025-07-26,토,프리미엄(501+),30000.0,310,6,304,10502541,934288,9568253
16894,전국 최대 부동산 경매! 한톡경매 (무료체험),라이프,3,참여형,2025-08-02,토,프리미엄(501+),0.0,1,0,1,10502541,934288,9568253
16895,전국 최대 부동산 경매! 한톡경매 (직과금),라이프,3,참여형,2025-07-26,토,프리미엄(501+),50000.0,271,5,266,10502541,934288,9568253
17056,멀티플렉스 영화할인권 무료교환,커머스,3,참여형,2025-07-31,목,프리미엄(501+),0.0,2,0,2,10502541,934288,9568253
17969,기라로쉬 세미마이크로 크림샌드 세트S,커머스,12,CPS(구매),2025-07-30,수,프리미엄(501+),0.0,7,0,7,10502541,934288,9568253
17974,발포로빼 발포비타민 30정 탄산다이어트,커머스,12,CPS(구매),2025-08-03,일,프리미엄(501+),0.0,11,0,11,10502541,934288,9568253
17978,아이템매니아,엔터,3,참여형,2025-07-27,일,프리미엄(501+),4500.0,26,5,21,10502541,934288,9568253
18203,셀트리온 셀린온 바이탈 코드 옴므 스킨케어세트,커머스,12,CPS(구매),2025-08-01,금,프리미엄(501+),0.0,3,0,3,10502541,934288,9568253
18214,새우표 완도 오리지널 전장김 20봉,커머스,12,CPS(구매),2025-07-28,월,프리미엄(501+),4000.0,12,1,11,10502541,934288,9568253
18504,정식품 페이스북,기타,5,페이스북,2025-08-10,일,고단가(201~500),308657.0,4196,1201,2995,10502541,934288,9568253
18562,주식투자마스터,금융,3,참여형,2025-07-26,토,프리미엄(501+),0.0,5,0,5,10502541,934288,9568253
18773,200여종의 워치페이스를 내손안에! (무료체험),엔터,3,참여형,2025-08-05,화,프리미엄(501+),0.0,16,0,16,10502541,934288,9568253
18774,200여종의 워치페이스를 내손안에! (직과금),엔터,3,참여형,2025-07-29,화,프리미엄(501+),0.0,20,0,20,10502541,934288,9568253
19488,광주방송 네이버 뉴스,엔터,11,네이버,2025-07-26,토,고단가(201~500),1464870.0,12336,6369,5967,10502541,934288,9568253
20182,유유제약 마시는 관절건강 MSM 30포,라이프,12,CPS(구매),2025-07-26,토,프리미엄(501+),0.0,14,0,14,10502541,934288,9568253
20256,AT스탁플러스,금융,3,참여형,2025-07-26,토,프리미엄(501+),18000.0,113,2,111,10502541,934288,9568253
20257,해외주식정보,금융,3,참여형,2025-07-27,일,프리미엄(501+),0.0,20,0,20,10502541,934288,9568253
20258,전화번호 안심로그인 ,라이프,3,참여형,2025-07-27,일,프리미엄(501+),0.0,28,0,28,10502541,934288,9568253
20390,나플나플 온수더블 매트 레브 리모컨 보일러 ,커머스,12,CPS(구매),2025-08-07,목,프리미엄(501+),0.0,2,0,2,10502541,934288,9568253
20495,편백나무 홈케어 황토볼 발마사지기 _중사이즈,커머스,12,CPS(구매),2025-08-08,금,프리미엄(501+),0.0,3,0,3,10502541,934288,9568253
20637,다양한 카툰 운세를 한번에!,엔터,3,참여형,2025-08-07,목,프리미엄(501+),0.0,2,0,2,10502541,934288,9568253
20881,대원제약 링곤베리 글루타치온 900mgx30정,커머스,12,CPS(구매),2025-08-08,금,프리미엄(501+),0.0,3,0,3,10502541,934288,9568253
20889,보령 콘드로이친 칼마D(800mgx90정),커머스,12,CPS(구매),2025-08-22,금,프리미엄(501+),0.0,1,0,1,10502541,934288,9568253
20903,스위스 몽크로스 프라젠 BBQ 전기그릴,커머스,12,CPS(구매),2025-07-26,토,프리미엄(501+),0.0,6,0,6,10502541,934288,9568253
