ads_idx,mda_idx,click_key,show_cost,adv_cost,rwd_cost,earn_cost,click_date,ctit,ctit_error,ctit_label,user_ip,dvc_idx,device_count,click_count,is_device_error,is_click_error,device_label,click_label,is_rewarded,row_label,fraud_loss,row_score
439552,58,d94452bc66efcac3f98bdc3c0872b5d64fa4559e,180,180,170,170,2025-08-09,86,False,정상,52.195.227.208,38399614,975,992,True,True,의심,의심,True,어뷰징 확정,170,10
441391,563,ce1ebed4572eb8be36b4cb043952fd0a4a544a17,18,18,14,14,2025-08-09,41,False,정상,175.126.208.146,60943400,21762,310629,True,True,의심,의심,True,어뷰징 확정,14,10
439552,58,6b4cd0771ab693966999a13f7a9cd2ea7b56fef9,180,180,170,170,2025-08-09,18,False,정상,3.112.124.201,61843048,732,744,True,True,의심,의심,True,어뷰징 확정,170,10
439552,563,a19334fa1b7cc4aec6ffb3c34c369719fceb6c76,180,180,150,150,2025-08-09,36,False,정상,175.126.208.146,49663047,21762,310629,True,True,의심,의심,True,어뷰징 확정,150,10
430776,58,cdc0c1595ab1f94cdcaa0305798480c5c9f81a9a,180,180,170,170,2025-08-09,60,False,정상,54.168.232.158,60788738,4696,4873,True,True,의심,의심,True,어뷰징 확정,170,10
439552,58,594a98a0c7b97459972befdc7bcfb404b175d8d2,180,180,170,170,2025-08-09,2,True,의심,13.158.73.27,61843036,4604,4745,True,True,의심,의심,True,어뷰징 확정,170,10
430776,58,a7e78e312852cc30b94bc834cc0b3f128e42599c,180,180,170,170,2025-08-09,182,False,정상,54.168.232.158,44364967,4696,4873,True,True,의심,의심,True,어뷰징 확정,170,10
430777,58,dc16a0a09c59072def1d752039f6c06c090baf0f,280,280,230,230,2025-08-09,69,False,정상,18.183.44.124,59717258,4792,4960,True,True,의심,의심,True,어뷰징 확정,230,10
438608,58,4377ec1f385d2f22145f2e7bdf932e79a6e07fc2,280,280,230,230,2025-08-09,66,False,정상,54.168.100.207,57247248,4548,4669,True,True,의심,의심,True,어뷰징 확정,230,10
430776,58,ac4e0b64be90a80e06daf0d5061ae073127ae9e0,180,180,170,170,2025-08-09,17,False,정상,54.248.26.20,61843044,4410,4559,True,True,의심,의심,True,어뷰징 확정,170,10
