domain_name,rank,type_name,conversion_share,budget_share,conversion_count,cvr,score
금융,1,실행형,89.72,62.22,43553,13.79,74.72
금융,2,참여형,6.5,35.86,3157,6.68,15.27
금융,3,설치형,3.16,1.58,1532,11.89,2.23
기타,1,참여형,31.92,33.04,3172,0.19,32.48
기타,2,실행형,28.09,29.93,2791,26.74,28.99
기타,3,설치형,27.91,22.63,2773,68.59,25.13
라이프,1,실행형,67.57,47.55,35181,29.55,56.68
라이프,2,참여형,10.66,40.72,5549,7.88,20.83
라이프,3,설치형,21.06,11.71,10962,58.05,15.7
엔터,1,실행형,46.99,30.45,371263,49.88,37.83
엔터,2,설치형,46.12,17.99,364401,59.37,28.81
엔터,3,CPS(구매),0.59,46.15,4673,36.64,5.22
커머스,1,참여형,60.6,10.2,18288,21.37,24.87
커머스,2,CPS(구매),1.74,87.78,525,6.01,12.36
커머스,3,설치형,21.92,1.51,6614,58.09,5.75
